,ao_hechos,delito,categoria_delito,longitud,latitud
1036497,2021,VIOLACION,VIOLACIÓN,-99.16482209975229,19.2351894704797
1036750,2021,VIOLACION,VIOLACIÓN,-99.09362018045591,19.3747178758717
1037131,2021,VIOLACION,VIOLACIÓN,-99.1271763999719,19.244532762102303
1037268,2021,VIOLACION,VIOLACIÓN,-99.20257866033221,19.4384624583143
1037870,2021,VIOLACION,VIOLACIÓN,-99.02165335034071,19.3327497735042
1037911,2021,VIOLACION,VIOLACIÓN,-99.1047290004352,19.332170939715898
1037952,2021,VIOLACION,VIOLACIÓN,-99.1780579098559,19.4249744557247
1038123,2021,VIOLACION,VIOLACIÓN,-99.15067479030719,19.2054808820471
1038126,2021,VIOLACION,VIOLACIÓN,-99.09027904029949,19.506629961471102
1038408,2021,VIOLACION,VIOLACIÓN,-99.2004203200503,19.3982740587201
1038506,2021,VIOLACION,VIOLACIÓN,-99.1644503896615,19.322319022874602
1038671,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0995836804195,19.2700638459299
1038681,2021,VIOLACION,VIOLACIÓN,-99.0401709097809,19.286424792928898
1039100,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1938597000058,19.4036418620607
1039222,2021,VIOLACION,VIOLACIÓN,-99.05248439045259,19.3242698141862
1039254,2021,VIOLACION,VIOLACIÓN,-99.1222540595447,19.435805639641302
1039291,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1033843204038,19.380537159636603
1039317,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1602656904552,19.461650753313698
1039741,2021,VIOLACION,VIOLACIÓN,-99.09644633999599,19.4165950041229
1039776,2021,VIOLACION,VIOLACIÓN,-99.2309403403378,19.2800082833732
1039842,2021,VIOLACION,VIOLACIÓN,-99.1233444104786,19.3377529038929
1039883,2021,VIOLACION,VIOLACIÓN,-98.9935956904658,19.3512134205878
1040092,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2005498001257,19.3808114372831
1040170,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1632957000698,19.396184726486897
1040560,2021,VIOLACION,VIOLACIÓN,-99.24624448977471,19.3312779387957
1041115,2021,VIOLACION,VIOLACIÓN,-99.0019425897205,19.3411373435307
1041162,2021,VIOLACION,VIOLACIÓN,-99.1002461300816,19.4505283097204
1041334,2021,VIOLACION,VIOLACIÓN,-99.12383942018141,19.285350927415198
1041375,2021,VIOLACION,VIOLACIÓN,-99.14310828017629,19.5540756897066
